date,age_group,cum_case,cum_admission,cum_death,cumFirstDose,newFirstDose,cumSecondDose,newSecondDose,cumThirdInjection,newThirdInjection,newSpring22,cumSpring22,new_case,new_death,new_admission,current_case,current_admission,,population_size
1/30/2021,85+,128957,72832,39514,1276439,12959,184810,73,8,2,0,0,423,379,477,46913,29849,,1457000
1/31/2021,00_17,505539,4502,51,468,46,10,2,0,0,0,0,1828,1,29,464927,4236,,10117000
1/31/2021,18_64,2459453,118253,9647,2791878,68890,117656,1849,158,2,0,0,10575,89,821,2165524,102974,,36139000
1/31/2021,65_84,334558,143570,47642,3775784,199316,148127,448,46,1,0,0,1289,392,908,167091,89091,,9316000
1/31/2021,85+,129392,73257,39845,1281083,4644,184942,132,8,0,0,0,435,331,425,46892,29923,,1457000
2/1/2021,00_17,508128,4546,51,492,24,10,0,0,0,0,0,2589,0,44,467287,4278,,10117000
2/1/2021,18_64,2474785,119178,9729,2860551,68673,118825,1169,160,2,0,0,15332,82,925,2178836,103773,,36139000
2/1/2021,65_84,336538,144492,48027,3955659,179875,148335,208,47,1,0,0,1980,385,922,168007,89584,,9316000
2/1/2021,85+,130237,73713,40188,1287787,6704,184978,36,8,0,0,0,845,343,456,47221,30014,,1457000
2/2/2021,00_17,510544,4585,51,517,25,11,1,0,0,0,0,2416,0,39,469491,4315,,10117000
2/2/2021,18_64,2488024,119956,9818,2941784,81233,119881,1056,163,3,0,0,13239,89,778,2190352,104425,,36139000
2/2/2021,65_84,338275,145440,48365,4156064,200405,148551,216,51,4,0,0,1737,338,948,168672,90149,,9316000
2/2/2021,85+,131020,74170,40524,1294698,6911,185056,78,10,2,0,0,783,336,457,47491,30114,,1457000
2/3/2021,00_17,512926,4614,53,561,44,11,0,0,0,0,0,2382,2,29,471674,4341,,10117000
2/3/2021,18_64,2501192,120722,9919,3039739,97955,121819,1938,163,0,0,0,13168,101,766,2201813,105054,,36139000
2/3/2021,65_84,339977,146302,48726,4404696,248632,148899,348,55,4,0,0,1702,361,862,169390,90609,,9316000
2/3/2021,85+,131689,74609,40844,1301961,7263,185169,113,10,0,0,0,669,320,439,47673,30212,,1457000
2/4/2021,00_17,515379,4641,53,616,55,11,0,0,0,0,0,2453,0,27,473925,4367,,10117000
2/4/2021,18_64,2513343,121453,10000,3146957,107218,124248,2429,164,1,0,0,12151,81,731,2212365,105669,,36139000
2/4/2021,65_84,341486,147073,49027,4670412,265716,149255,356,59,4,0,0,1509,301,771,170021,91042,,9316000
